"id","hash","base","type","path","format","name","description","trigger_phrases","created_at","updated_at","file_size"
"9bdbf56e-6279-4670-9731-a804cc0c2f1c","blake3:80bacba94536095c2b3eec424af66012d894411bd6c9020d66a1ea1714eb58c4","flux","lora","flux/lora/Long-Toon.safetensors","lycoris","PrithivMLmods - Long-Toon","flux lora model Long-Toon",,"2025-07-19 03:51:20.552","2025-07-19 03:58:25.247",612748312
"f485b22f-edeb-4355-aa98-c8a50f581157","blake3:9b3643c5480865210c18e0bfd9e945abde139105c363ef3cd269096a620d91ae","flux","lora","flux/lora/toonic2.5D.safetensors","lycoris","PrithivMLmods - Toonic-2.5D","flux lora model toonic2.5D",,"2025-07-19 03:53:35.198","2025-07-19 03:59:04.111",612747584
"f7d4d798-42bd-4655-8a86-4e4305097264","blake3:c5c68f2a05e844749dbc90f5f4b4a193a314627eaf9827c81a93d66cb2d3b73b","flux","lora","flux/lora/lora_v2.safetensors","diffusers","Aleksa - Ghibsky illustration v2.0","flux lora model lora_v2","[""GHIBSKY style, ""]","2025-07-19 03:55:58.374","2025-07-19 06:59:28.519",171969424
"4584b3bf-a209-4b41-8ba0-622eaafff47c","blake3:8ae5c515d4e46ef1144ecdff5348b11259a10c11e26db02b481da575d6cfedea","flux","lora","flux/lora/hauntedlinework_flux_araminta_k.safetensors","diffusers","Alvdansen - Haunted Linework","flux lora model hauntedlinework_flux_araminta_k","[""hntdlnwrk style""]","2025-07-19 04:02:44.108","2025-07-20 09:38:41.678",343805600
"104feb97-9f5d-4754-9fa2-b3cb6bd2f136","blake3:f298b2dd32b1f6cd3de2a8aa7b05cff131af7f3474a779245fbb5cb8bf3157b2","flux","lora","flux/lora/geopop_NWGMTRCPOPV01.safetensors","diffusers","BingBangBoom - GeoPop","flux lora model geopop_NWGMTRCPOPV01","[""illustration in the style of NWGMTRCPOPV01""]","2025-07-19 04:04:57.242","2025-07-19 04:05:34.193",171969432
"9f3a679d-e3fc-4b9b-bb2e-056d407651dd","blake3:394048efdbadfe008db6ce4a0ce60b9d94d561da157498eeae43ca68dbf360da","flux","lora","flux/lora/Brain_Melt.safetensors","diffusers","Glif - Brain Melt Acid Art","flux lora model Brain_Melt","[""in an acid surrealism style""]","2025-07-19 04:07:07.417","2025-07-19 04:09:38.597",451203024
"d5949dc0-f02b-4fe5-ba8a-d6463487ba06","blake3:60d3041c6967bbdc83f4193eceef7101e952a97c19f720029444d4a4f22a3b31","flux","lora","flux/lora/lora.safetensors","diffusers","Adirik  - Flux Cinestill","flux lora model lora

in the style of CNSTLL, a white car parked in front of a gas station, night time, cinestill 800T","[""in the style of CNSTLL, ""]","2025-07-20 09:56:35.423","2025-07-20 09:59:44.432",171969416
"339aa472-6862-42a8-8d50-1f5cdcba47cf","blake3:087f0e1f93198fd1f9214f87a7f3366c328a1a13da9ba1d552910f1952821e7d","flux","lora","flux/lora/tost-2024-09-22-12-14-05-lightningmcqueen05.safetensors","diffusers","VinitT - Lightning McQueen","lightningmcqueen05, A vibrant and detailed illustration of Lightning McQueen, the brown race car with number 95, speeding down a race track with a determined expression. The background features a cheering crowd and a clear blue sky, capturing the excitement and energy of a high-stakes race.","[""lightningmcqueen05""]","2025-07-20 10:00:19.806","2025-07-20 10:01:21.496",171969440
"21cf1c18-8d85-4e3c-aaed-bc02bac2da01","blake3:b75c6e5e1f849823ae36b9f273083ff595414bd73ed6fbcb72229c182d0d83ce","flux","lora","flux/lora/ume_classic_impressionist.safetensors","diffusers","UmeAiRT - Impressionism","A painting of a woman in a black dress with a flower in her hand, standing behind a table with a bowl of oranges and a bottle of champagne. She is looking at the camera with a frown on her face. The table is set with multiple bottles of champagne and oranges. The woman is wearing a black dress with a flower in her hand. The scene is set in a fancy restaurant with multiple people in the background. The painting is in an impressionist style.",,"2025-07-20 10:20:01.061","2025-07-20 10:20:39.316",343805549
"b5fb155f-d480-4485-bc9a-7fb6bea6088f","blake3:353736c84659eb86521c7d1d9a13c8d357fe203ed7a1d381c0d26f66171bd88f","flux","lora","flux/lora/Canopus-Cute-Kawaii-Flux-LoRA.safetensors","lycoris","PrithivMLmods - Canopus Cute Kawaii Flux","Cute-kawaii, An animated image of an ice cream cone on an orange background. The ice cream in the middle of the image is white with brown dots on it. There are black eyes on the ice cream. There is a smiley face on the top of the icecream cone. The cone is made up of wicker and has ridges on the sides. The background is a vibrant orange color.","[""Cute-kawaii""]","2025-07-20 10:26:49.124","2025-07-20 10:29:25.533",612747264
"eac50ec9-4917-4afb-83bc-137d7e58d70c","blake3:61a31addc80bef6ed4562ba24a3f961dd7f8efa598050adab7412950fb5f9428","flux","lora","flux/lora/Abstractum_Flux.safetensors","lycoris","Abstractum Flux","Abstract style painting. Try to make you prompts abstract enough even before lora :)","[""Kandinsky"",""Abstract art""]","2025-07-22 06:07:47.678","2025-07-22 06:11:44.589",19256800
"faffced1-b33a-40f1-8fc3-a088ebe0715a","blake3:9aeda29212237149037ce0c71367810bc9eb0a3c7e48df3a34fb1ca6a4ebc064","flux","lora","flux/lora/Kandinskyan_Chaos.safetensors","diffusers","Kandinskyan Chaos","A LoRA inspired by the revolutionary work of Wassily Kandinsky (1866â1944), transforming subjects into bold, vibrant abstraction. Whether you seek fluid, expressive motion or sharp, geometric precision, this LoRA offers two distinct pathways to pure dynamic form.

ð¨ Two Distinct Styles:
Flowing Abstraction â Organic, fluid motion with swirling brushstrokes and blended colors, evoking movement and energy.
Geometric Abstraction â Sharp, angular compositions with rigid shapes, intersecting lines, and structured contrasts.
Trigger Word:
kndsk 

Flowing Abstraction: Use words like swirling, flowing, melting, undulating, organic shapes, luminous gradients.
Geometric Abstraction: Use words like sharp-edged, intersecting, rigid forms, bold contrasts, fragmented shapes.","[""kndsk""]","2025-07-22 06:08:05.086","2025-07-22 06:09:58.837",451202736
"4e671420-b19e-4059-86d0-df582e27e6d7","blake3:62d792ff566c1cf54c984d90aeca9c2f705aaea6ac9300547791efed20679d03","flux","lora","flux/lora/Wassily_Kandinsky.safetensors","lycoris","Wassily Kandinsky","Wassily Kandinsky, born on December 16, 1866, in Moscow, Russia, was a pioneering Russian painter and art theorist. He is often credited with being one of the first artists to create purely abstract paintings, breaking away from traditional representational art.","[""style of Wassily Kandinsky""]","2025-07-22 06:08:16.347","2025-07-22 06:11:04.037",306432368
"c51a19b0-0e0c-43ef-a998-97e82d3eccf4","blake3:d351243e654e89d6dac837562241aef2d79a99339dcb1a97771544003d30ed58","flux","lora","flux/lora/CAD_Holographic.safetensors","lycoris","CAD - Holographic","flux lora model CAD_Holographic","[""holographic"",""wire form CAD""]","2025-07-22 07:15:54.788","2025-07-22 07:23:01.821",19258848
"1ca26e31-7445-4275-9fd3-69471982e5d2","blake3:159003224fa0be52cc77378f8b26f6f401fb2ccba8514b98b382886d44ad9463","flux","lora","flux/lora/CAD_Cutaway_Technical_Drawing.safetensors","lycoris","CAD - Cutaway Technical Drawing","For final touch cutaway drawing, add more technical drawing style and more cutaway, add structured text blocks.

Better for machines and hard surfaces. Less for biological.

Prompt have matter.
Model weight have matter.
Sampler have matter.
Scheduler have matter.
Size and aspect ratio have matter.","[""cut4w4y""]","2025-07-22 07:16:06.435","2025-07-22 07:20:49.081",39757160
"c29943c9-eb37-4962-9845-215103786d6f","blake3:c793fee7f65c3bd0e830e11a6d63b5700ac1ddf46d788a053587e58e3c8218fc","flux","lora","flux/lora/CAD_Drawing.safetensors","lycoris","CAD - Technical Drawing","attempts to duplicate CAD spec sheet drawings.

Best prompting method is

""A technical CAD drawing of a ______________""

for added strength, use ""Spec Sheet"" appended to the prompt

guidance can go all the way to 7.5 for increased strength, tends to burn out the image and make it look like old paper. recommended 3.5-5 sweet spot seems to be 5.5","[""A technical CAD drawing of a"",""Spec Sheet""]","2025-07-22 07:16:15.603","2025-07-30 13:03:04.504",306432832
"bf158d5b-082f-40d8-9c71-eb694f17961f","blake3:2e597e6d683163901c6e057226b835ddd8d1de4b6fcb9480783c94273933429d","flux","lora","flux/lora/CAD_Blueprint_Drawing.safetensors","lycoris","CAD - Blueprint Drawing","Designed for generating unique sci-fi styled and intricate mechanical designs, these drawings harness creativity and imagination to produce stunning sci-fi mechanical artworks, ranging from intricate mechanical schematics to breathtaking Flux sci-fi model drawings. It aids sci-fi enthusiasts, mechanical designers, and AI art lovers in exploring the world of sci-fi mechanics with their creativity and imagination!","[""Blueprint_Drawing""]","2025-07-22 07:17:09.513","2025-07-22 07:20:58.630",459584744
"b8f521df-115d-43ad-9c0a-5545640d759b","blake3:c8e3ce971695cfa32559b0fec86800bb01e079e6a3614878b1522027e780f75c","flux","lora","flux/lora/1980s_Technical_Manuals_Flux.safetensors","lycoris","Books - Technical Manuals 1980s","The model is designed to replicate the iconic look and feel of 1980s technical manuals and guides, capturing the retro aesthetic with precision. It focuses on producing blocky, pixelated fonts typical of the era, with bold primary colors such as red, blue, and neon accents. The model incorporates clean, minimalist layouts with geometric shapes and simple, high-contrast color schemes, evoking the corporate and industrial design trends of the time. Distressed textures, slight gradients, and sharp borders are applied to give a worn, authentic appearance, while metallic sheens and gridlines enhance the high-tech, analog vibe. It excels at producing covers with faded paper effects, subtle shadowing, and vintage typography, delivering the perfect blend of nostalgic 1980s design and technical precision.",,"2025-07-22 07:41:15.253","2025-07-23 06:26:52.631",19290208
"96798c21-225a-426c-ba4a-ee60d1099c29","blake3:0881ccf3445b72e6387577e5f4b35ee9fb2bb4de6b4314cf81b0ce1beb2ab4f0","flux","lora","flux/lora/CE_DaVinciDrawing01.safetensors","diffusers","CE - da Vinci Drawing","Weight around 0.9 suits most pictures, within a range of around 0.5 - 1.2 depending on desired result.","[""dvnciCE style""]","2025-07-22 07:44:41.400","2025-07-22 07:46:20.788",343805595
"fdd07f83-5d39-4c12-aa1e-3935633a45d0","blake3:924aac99adadb86ecc6284ae286a751f2be33db0fcabed71516356e6db951059","flux","lora","flux/lora/ICONS_Round_Flux.safetensors","lycoris","Icons - Round Flux","A Flux Lora trained on round simple Icons for FLUX. DEV

Please make some Icons and post them. so i can Finetune.
I used RMBG V2.0 to remove Background in ComfyUi.


Trained with Flux. Dev 1900 times....

For ROUND Icons Prompt :

""iconx ,A Angry Joker Round icon looks modern with Simple reflections in logo style""

Strenght i use 1.0","[""iconx, "","", round icon looks modern with simple reflections in logo style""]","2025-07-22 10:19:31.252","2025-07-22 10:21:41.992",18214100
"ce5a5374-97b7-4eec-8f44-ededd4e59923","blake3:f226cd9cd1826f1fedf7accb011645d1ead935097340c51833e3baf70c1042f7","flux","lora","flux/lora/StarWars - ScoutTrooper.safetensors","diffusers","StarWars - ScoutTrooper","That was also a request and i think this is the last star wars clothing lora for me, as probably everything most recognized is covered now.

-Update added FLUX version

-Trigger is ""scouttrooper""

Use with weight 0.8,0.9 for best results.

Add ""helmet,mask"" to prompt to get the full headwear.","[""scouttrooper""]","2025-07-23 10:24:10.441","2025-07-23 10:24:54.662",171969360
"4fa6b9e2-8ec6-43c5-8c21-aaec246c8969","blake3:546e3bc1273cf4bcd700c2945c3f915d11a12c13a8adce491456409e8f9db9e1","flux","lora","flux/lora/StarWars - First Order.safetensors","lycoris","StarWars - First Order","flux lora model StarWars - First Order","[""First Order Stormtrooper"",""foarmy""]","2025-07-23 10:25:15.831","2025-07-23 10:39:50.866",19310216
"b01cd50d-1df1-4ca3-a9ea-bfe3ad835d77","blake3:87a659d31add6073939efa08ac7bb749f7924e8b2771d3813054bb18ca7e97da","flux","lora","flux/lora/StarWars - Ralph McQuarrie Illustration.safetensors","lycoris","StarWars - Ralph McQuarrie Illustration","Flux does not know Star Wars ships well, and this is a McQuarrie style LoRA, not a Star Wars concept Lora, which would require a much larger dataset. So the LoRA has problem rendering ships faithfully. You can try lowering the weight to 0.8 and see if the rendering improves.

","[""ralphmcq1 painting""]","2025-07-23 10:25:46.523","2025-07-23 10:39:08.087",57551176
"41634287-6eee-43d9-93c0-a740fd89c153","blake3:d2436572a9b7f10d19409241a405ff8b5c9997490ef021ff39d65f030db58400","flux","lora","flux/lora/StarWars - Darth Vader.safetensors","lycoris","StarWars - Darth Vader","flux lora model StarWars - Darth Vader","[""Darth Vader""]","2025-07-23 10:25:53.656","2025-07-23 10:38:20.194",19292136
"181df1b1-e584-4ea4-b42e-361b397bccab","blake3:4b26b23ec39512c123c1b1e2a990c42402f8fd2ac727c940a325033aa13734d9","flux","lora","flux/lora/StarWars - X-Wing.safetensors","lycoris","StarWars - X-Wing","flux lora model StarWars - X-Wing","[""xwingflux""]","2025-07-23 10:26:00.487","2025-07-23 10:37:01.314",19257888
"fdd74500-6f1b-41a0-9f16-7e6ad29f9f03","blake3:d11b06a9d4d32e3f36858d953c13b95e0e5fb6647e7467e4b271b5d3e762b680","flux","lora","flux/lora/StarWars - Yoda.safetensors","lycoris","StarWars - Yoda","flux lora model StarWars - Yoda","[""Yoda""]","2025-07-23 10:26:10.268","2025-07-23 10:36:50.716",38402632
"1ff23e15-3cb4-4aeb-b51d-069d300f4a49","blake3:67eb4eff067d4d97276ebbfabd884ed579cd043b635af293de9debfc17c1fbd3","flux","lora","flux/lora/StarWars - Revan.safetensors","lycoris","StarWars - Revan","flux lora model StarWars - Revan","[""Revan""]","2025-07-23 10:26:17.131","2025-07-23 10:36:36.435",19275696
"8a5c5a0c-bc5a-4aab-9f78-e0ad7010c3b0","blake3:10b388463762b5a585e9cc13fe6c3e5b7181fb3bd80d0b5e39c5ddf0aa78d391","flux","lora","flux/lora/StarWars - B2EMO.safetensors","lycoris","StarWars - B2EMO","Works best with parameters from 1.0 to 1.5. With higher values you'll obtain red B2EMO on a sand-rocky landscape(even on 1.5 it is sometimes difficult to get a different color than red). 1.0 and lower gives interesting droids similar to Bee(see my cross-post below).
","[""B2EM0""]","2025-07-23 10:26:23.222","2025-07-23 10:36:25.666",19257120
"640c5f1c-e4a4-43a4-ae90-58401b1044a5","blake3:85bb5b4015318d73936b796aa37f3b8b01db4c58953f6af191eb29e7d1c9c974","flux","lora","flux/lora/StarWars - General Grievous.safetensors","lycoris","StarWars - General Grievous","General Grievous, the feared cyborg leader of the droid armies of the Confederacy of Independent Systems!

Trigger is ""GeneralGrievous""

supporting tags: cyborg, alien, mask, robot, science fiction

optional: cape, (four arms:1.4)

Works best around 0.8 weight. Should work on most checkpoints, especially realistic ones. Tends towards portraits, but should respond to camera prompting and it does work with controlnet openpose. Lightsabers are hit or miss as to whether he's holding them correctly. XD

Hope you like it and please post generations! :D

Known issue: it does have a tendency to generate psuedo-text and logos in the bottom corners (though they're usually easy enough to crop off), I'll try to fix that if I make a v2...","[""GeneralGrievous""]","2025-07-23 10:26:32.537","2025-07-23 10:36:04.479",38408448
"31e4d952-2ea1-4242-8fc0-10d926c88f0e","blake3:75ea559d81931412af7fbafdd0f6b8a28ef3c338ff3e987a2f898649fc40a818","flux","lora","flux/lora/StarWars - Republic Venator Class Star Destroyer.safetensors","lycoris","StarWars - Republic Venator Class Star Destroyer","flux lora model StarWars - Republic Venator Class Star Destroyer","[""V3nat0r""]","2025-07-23 10:26:58.279","2025-07-23 10:35:43.168",145180532
"9e8e2c95-5f31-4b8e-a906-ae4733039e16","blake3:5bc72647e0a6c347220d86a80340e16d2e79d53504a2360600c277c1334c1734","flux","lora","flux/lora/StarWars - Imperial II-class Star Destroyer.safetensors","lycoris","StarWars - Imperial II-class Star Destroyer","flux lora model StarWars - Imperial II-class Star Destroyer","[""ISDII""]","2025-07-23 10:27:27.300","2025-07-23 10:35:28.745",145172956
"8f4cc20b-98de-4ae4-92f3-7dd1c44d9709","blake3:859ea5bd16a947f5dd9cc71451401cc6d8750ca6f9eb459bf2cb143275cb2aca","flux","lora","flux/lora/StarWars - Clone Commando.safetensors","lycoris","StarWars - Clone Commando","flux lora model StarWars - Clone Commando","[""7-CloneCommando""]","2025-07-23 10:27:35.923","2025-07-23 10:35:07.564",306452432
"f20191c5-e32e-4d59-bc40-8f27b2a622b7","blake3:0dd968e914e1e2476134f02473f4102590fc50a1cd563cf14ab1cf1dc890e97a","flux","lora","flux/lora/StarWars - B1 Droid.safetensors","lycoris","StarWars - B1 Droid","flux lora model StarWars - B1 Droid","[""7-B1""]","2025-07-23 10:29:52.519","2025-07-23 10:34:48.070",306456232
"c5ca0889-a461-4f45-8685-c3704a99c127","blake3:6cd58e92b0e268c679f40e508589ba9fa7d7554d72d0568a3e103776084a1042","flux","lora","flux/lora/StarWars - Cinematic Style v1.safetensors","diffusers","StarWars - Cinematic Style v1","flux lora model StarWars - Cinematic Style v1","[""star wars style""]","2025-07-23 10:31:28.969","2025-07-23 10:34:17.432",343805461
"ea4b49b9-ff8b-412f-9d23-6dab725d6b6f","blake3:fc79c04d62ea15febaea9f55228659f4c7e54fe737e3c10061d31640fd914237","flux","lora","flux/lora/StarWars - Clone Armour Phase 2.safetensors","lycoris","StarWars - Clone Armour Phase 2","flux lora model StarWars - Clone Armour Phase 2","[""Clone Trooper"",""7-Phase2""]","2025-07-23 10:32:19.074","2025-07-23 10:33:53.094",306474264
"7758a079-c0ea-4c65-affc-a269f60eecf2","blake3:650ef766a4f7f55f87bbff618d03188c079ebebab0f637582c93c116ff23ec81","flux","lora","flux/lora/StarWars - Stormtrooper.safetensors","diffusers","StarWars - Stormtrooper","flux lora model StarWars - Stormtrooper","[""stormtrooperflux""]","2025-07-23 10:37:57.244","2025-07-23 10:38:07.961",171969432
"3cc0273e-6817-4018-8cba-ea79c858da09","blake3:88f0c74c355a5c7bc528b9eba527c8cb97a47e6c1f79158bafa9b7945c14114c","flux","lora","flux/lora/Cybernetic_Robots.safetensors","lycoris","Robotka - Cybernetic Robots","Cybernetic Robots
This lora is trained from digital luminous circuits and matrix code.

Important words in the prompt:

cybernetic

translucent

glass

circuit

matrix code

futuristic

glowing

EXAMPLE
PROMPT: futuristic robotic woman covered with glowing matrix code and circuits, fast running, wearing battle gear, blue, red, white, background matrix code","[""cybrob""]","2025-07-24 00:46:47.350","2025-07-24 00:47:35.565",39761376
"ca009bf3-3548-4e78-9b7a-7a515c3ae16b","blake3:eb07edfd6c2125a4be7d4ffd617f40f4582b51669df467f8c46328099843681d","flux","lora","flux/lora/Adel_AI - Architectural_Sketching.safetensors","lycoris","AdelAI - Architectural Sketching","weighting between 1.2 - 1.6 ( you can test outside of this interval)

Showcase Images were created with Flux1.dev fp16.

LoRA training images base were created with Pixel Alchemy.

In order to explore the extent of the possible renderings of this LoRA, it is recommended to use these tags which were used in the training. Do not of course use them all at the same time, but depending on what you are looking for : Perspective, Proportions, Construction Lines, Shading, Freehand Drawing, Rendering, Architectural Details, Schematic, Loose Lines, Abstract, Conceptual, Minimalist, Gestural, Outline, Impressionistic, Visual Brainstorming, Multi-View, Composite View.

The model seems to show skills outside of architecture and interior design, yet he was only trained on that. Donât hesitate to test it on other themes.","[""Construction Lines"",""Outline"",""Shading"",""Loose Lines"",""Gestural"",""Architectural Details"",""Rendering"",""Multi-View"",""Composite View"",""Schematic"",""Impressionistic"",""Perspective"",""ConceptualMinimalist"",""Visual Brainstorming"",""Proportions"",""Abstract"",""Freehand Drawing""]","2025-07-24 01:06:18.424","2025-07-24 01:44:59.806",19295344
"ddf3d939-87a5-437a-b02c-e73a71e2b1d6","blake3:a46ff42791e98dff037942d3d464eca612eeb3b6a1104b7b320d804336d5aa3b","flux","lora","flux/lora/AdelAI - Pascal BlanchÃ©.safetensors","lycoris","AdelAI - Pascal BlanchÃ©","Inspired by Pascal BlanchÃ© artwork (one of my favorites).
Recommended resources : Fluxmania or Flux1.dev fp8.

Settings : dpmpp_2m / sgm_uniform / 25 - 30 steps / cfg 3.5
Weighting : 0.8 - 1.2","[""By Passcal BlanchÃ©""]","2025-07-24 01:50:17.697","2025-07-24 01:51:08.124",19295360
"fb72dbdf-c2f2-489c-8961-3f8a59055cc1","blake3:26e3ba06efc48e734af11a3e50f4ce556812269a4acaf0678b381c398b1c02ec","flux","lora","flux/lora/DJZ - CyberSociety v66-e9.safetensors","lycoris","DJZ - CyberSociety v66-e9","flux lora model DJZ - CyberSociety v66-e9","[""cybersociety style""]","2025-07-24 02:05:49.302","2025-07-24 02:06:02.934",76954088
"683a02e4-2cc9-496d-8c76-ae837afe225f","blake3:af825d2f646f07197a7b95de1fe6c69209c9c313fae2b707f100efc4365f15c0","flux","lora","flux/lora/CK - Ghost Reaper.safetensors","lycoris","CK - Ghost Reaper","flux lora model CK - Ghost Reaper","[""robot""]","2025-07-24 02:10:50.037","2025-07-24 02:11:07.448",76697315
"50e284f3-c908-4c65-aefe-d51d097b33b4","blake3:4341ac41369f1959568abe5b1c8622167fe1edbed28dd48a841d4d05989001b0","flux","lora","flux/lora/Meower2024 - Cubism Style.safetensors","lycoris","Meower2024 - Cubism Style","flux lora model Meower2024 - Cubism Style","[""cubism painting""]","2025-07-24 02:13:19.418","2025-07-24 02:13:35.295",19259768
"2e6df661-c12a-47a6-8e8d-cace83aa7f3a","blake3:95e209cb9596fcada2aca3321c60b87b008f37059ca0fd0cd72d4846e9017101","flux","lora","flux/lora/Fancy_Pants - Polygonized v0.5.safetensors","lycoris","Fancy_Pants - Polygonized v0.5","Main trigger: low poly art, geometric shapes

Best weight: 0.7 ~ 1.4","[""low poly art, geometric shapes""]","2025-07-24 02:16:14.776","2025-07-24 02:17:33.718",19261776
"420d934b-9d8d-479e-be95-b694aa605031","blake3:3f93f36b44e7eb4df90cf9baf18db449ecbd3fcf680af01b78751c5a0e03bb41","flux","lora","flux/lora/Fancy_Pants - Polygonized v0.6.safetensors","lycoris","Fancy_Pants - Polygonized v0.6","Main trigger: low poly art, geometric shapes

Best weight: 0.7 ~ 1.4","[""low poly art, geometric shapes"",""polygonized""]","2025-07-24 02:16:21.206","2025-07-24 02:16:53.539",612750896
"aa96a506-e466-4760-8a7d-0886ecb9b41c","blake3:87bfdfa0c7fc7c516d271adc0e992775733e8f2a37dabe163a2c7db717f6eccd","flux","lora","flux/lora/Seruva19 - Moebius.safetensors","diffusers","Seruva19 - Moebius","All showcase images were generated with the following settings, which are recommended:

Prompts: started with ""In style of Moebius.""
Model: flux1-dev (fp8e4m3fn)
Text Encoder: t5pxxl_fp16
Sampler: euler
Scheduler: 24 steps (normal)
Flux Guidance: 4
LoRA Strength: 1
","[""In style of Moebius""]","2025-07-24 13:59:07.361","2025-07-24 14:00:14.804",343805376
"6ce9386a-c839-4989-bf49-29230050b0de","blake3:38061dd7cc10ac0b1f71e57fef6909214387bf5447ddde9bc111bb3cfba0dc0b","flux","lora","flux/lora/Corruptedcupid - Moebius.safetensors","lycoris","Corruptedcupid - Moebius","flux lora model Corruptedcupid - Moebius","[""Moebiusstyle""]","2025-07-24 14:08:16.548","2025-07-24 14:08:59.864",38405920
"c8f44609-678f-4c06-a090-3b3311967feb","blake3:fd5a6f7e595c9d60793545492792d9f1c9098c94bbe76ea81095a97cea1fc77c","flux","lora","flux/lora/TangBohu - William Stout Style.safetensors","lycoris","TangBohu - William Stout Style","William Stout is an American artist and illustrator, known for his contributions to the field of paleoart and fantasy art. He was born on September 18, 1949, and is still alive today.

Stout's main body of work includes creating realistic and detailed illustrations of prehistoric life, dinosaurs, and ancient civilizations. He has also worked extensively in the field of movie poster design, having created iconic posters for films like ""The Lost World: Jurassic Park"" and ""Pan's Labyrinth.""

Stout's artistic style is characterized by his attention to detail, vibrant colors, and ability to bring extinct creatures to life through his illustrations. His work often showcases a blend of scientific accuracy and imaginative storytelling, making his art both educational and visually captivating.

In addition to his artistic contributions, Stout has also written and published several books on paleoart and fantasy illustration, sharing his knowledge and expertise with aspiring artists and enthusiasts.","[""style of William Stout""]","2025-07-27 00:36:34.981","2025-07-27 00:37:40.479",306434672
